                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4107,                0.94506,                 1.1209,                0.40333,                0.27127,                0.30682,                0.16842,                 1.3116,                0.87098,                 1.0907,               0.006634,               0.006634,               0.006634
                     37,                 1.4021,                0.94134,                 1.1168,                0.38626,                0.27956,                0.30553,                0.16774,                 1.3081,                0.87096,                 1.0905,               0.006535,               0.006535,               0.006535
                     38,                 1.3949,                0.93482,                 1.1103,                0.39648,                0.27507,                0.30884,                0.17197,                 1.3026,                0.86396,                  1.087,               0.006436,               0.006436,               0.006436
                     39,                  1.388,                0.93143,                 1.1122,                0.39147,                0.28338,                0.31009,                0.17149,                 1.3034,                 0.8619,                 1.0867,               0.006337,               0.006337,               0.006337
                     40,                 1.3904,                0.92456,                 1.1083,                0.39978,                0.28706,                0.31225,                 0.1737,                 1.2981,                0.85879,                 1.0831,               0.006238,               0.006238,               0.006238
                     41,                 1.3847,                0.92166,                 1.1067,                0.39992,                0.28324,                0.31319,                0.17325,                 1.2931,                0.85184,                 1.0804,               0.006139,               0.006139,               0.006139
                     42,                 1.3828,                 0.9204,                 1.1036,                0.39897,                0.28742,                0.31191,                0.17265,                 1.2943,                0.85498,                 1.0806,                0.00604,                0.00604,                0.00604
                     43,                 1.3753,                0.91037,                 1.1018,                0.39044,                0.29216,                0.31737,                0.17704,                 1.2859,                0.84628,                 1.0734,               0.005941,               0.005941,               0.005941
                     44,                 1.3756,                0.91398,                 1.1037,                0.39874,                0.29268,                0.31813,                0.17692,                 1.2877,                0.84407,                 1.0751,               0.005842,               0.005842,               0.005842
                     45,                 1.3701,                0.90519,                 1.0978,                0.40685,                 0.2833,                0.31928,                0.17899,                 1.2816,                0.84176,                 1.0719,               0.005743,               0.005743,               0.005743
                     46,                 1.3631,                0.90475,                 1.0951,                0.41044,                0.29096,                0.32331,                0.18063,                 1.2787,                0.84055,                 1.0707,               0.005644,               0.005644,               0.005644
                     47,                 1.3656,                0.90015,                 1.0952,                0.41596,                0.28794,                0.32327,                0.18132,                 1.2734,                0.82999,                 1.0702,               0.005545,               0.005545,               0.005545
                     48,                 1.3634,                0.90009,                 1.0917,                0.41957,                0.28306,                0.32283,                0.18148,                 1.2724,                0.83241,                 1.0683,               0.005446,               0.005446,               0.005446
                     49,                 1.3588,                0.89613,                 1.0933,                0.43406,                0.28478,                0.32736,                0.18323,                 1.2711,                0.82955,                 1.0649,               0.005347,               0.005347,               0.005347
                     50,                 1.3575,                0.89356,                 1.0871,                 0.4159,                0.29392,                0.33089,                 0.1857,                 1.2671,                0.82563,                 1.0628,               0.005248,               0.005248,               0.005248
                     51,                 1.3489,                0.88533,                  1.086,                0.42387,                0.29279,                0.32964,                0.18549,                 1.2653,                0.82485,                 1.0633,               0.005149,               0.005149,               0.005149
                     52,                 1.3485,                0.88599,                 1.0874,                0.44015,                0.29224,                0.33436,                0.18925,                 1.2611,                0.81843,                 1.0602,                0.00505,                0.00505,                0.00505
                     53,                 1.3493,                0.88458,                 1.0876,                 0.4262,                0.28844,                0.33127,                0.18737,                 1.2579,                0.81557,                  1.059,               0.004951,               0.004951,               0.004951
                     54,                 1.3459,                0.88032,                 1.0823,                0.40249,                0.30497,                0.33437,                0.18844,                 1.2568,                 0.8127,                 1.0587,               0.004852,               0.004852,               0.004852
                     55,                 1.3402,                0.87698,                 1.0804,                0.41353,                0.30246,                0.33399,                0.18888,                 1.2554,                  0.814,                 1.0557,               0.004753,               0.004753,               0.004753
                     56,                 1.3407,                0.87289,                 1.0795,                0.43801,                0.29765,                0.34083,                0.19249,                  1.253,                0.81176,                 1.0548,               0.004654,               0.004654,               0.004654
                     57,                 1.3326,                0.86847,                 1.0774,                0.42341,                0.29999,                0.33838,                0.19203,                 1.2486,                0.80796,                 1.0531,               0.004555,               0.004555,               0.004555
                     58,                 1.3332,                0.86766,                 1.0782,                 0.4234,                0.30265,                0.33751,                0.19371,                 1.2458,                0.80441,                 1.0519,               0.004456,               0.004456,               0.004456
                     59,                 1.3304,                0.86684,                 1.0717,                0.43995,                0.29587,                0.33969,                0.19268,                 1.2458,                0.80449,                 1.0515,               0.004357,               0.004357,               0.004357
                     60,                 1.3322,                 0.8638,                 1.0692,                0.42411,                0.30232,                0.34361,                0.19522,                 1.2428,                0.80161,                  1.049,               0.004258,               0.004258,               0.004258
                     61,                 1.3202,                0.85466,                 1.0721,                0.43528,                0.30023,                0.34335,                0.19501,                 1.2428,                 0.7997,                 1.0494,               0.004159,               0.004159,               0.004159
                     62,                 1.3196,                0.85737,                 1.0678,                 0.4248,                0.30449,                0.34517,                0.19781,                 1.2396,                0.79714,                 1.0486,                0.00406,                0.00406,                0.00406
                     63,                 1.3151,                0.85159,                 1.0666,                0.43028,                0.30257,                0.34586,                0.19796,                 1.2385,                0.79485,                 1.0482,               0.003961,               0.003961,               0.003961
                     64,                 1.3111,                0.84657,                 1.0658,                 0.4317,                0.30531,                0.34566,                0.19769,                 1.2386,                0.79302,                 1.0479,               0.003862,               0.003862,               0.003862
                     65,                 1.3134,                0.84803,                 1.0672,                0.43648,                0.30602,                0.34814,                0.19908,                 1.2364,                0.78973,                  1.046,               0.003763,               0.003763,               0.003763
                     66,                 1.3066,                0.84495,                 1.0614,                0.44692,                0.30199,                0.34964,                0.19888,                 1.2351,                 0.7894,                 1.0462,               0.003664,               0.003664,               0.003664
                     67,                 1.3041,                0.83819,                 1.0596,                0.44236,                0.30381,                 0.3483,                0.19884,                 1.2348,                0.78947,                 1.0455,               0.003565,               0.003565,               0.003565
                     68,                 1.3103,                0.84284,                 1.0619,                0.43821,                0.30696,                0.35003,                0.20028,                 1.2337,                0.78673,                 1.0449,               0.003466,               0.003466,               0.003466
                     69,                 1.3031,                0.84222,                 1.0589,                0.44262,                 0.3061,                0.35028,                0.20036,                 1.2308,                 0.7857,                 1.0444,               0.003367,               0.003367,               0.003367
