                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1842,                0.71217,                 1.0163,                0.70538,                  0.423,                0.44878,                0.26184,                 1.1468,                0.69513,                 1.0137,              0.0001634,              0.0001634,              0.0001634
                     36,                 1.1777,                0.70541,                 1.0158,                0.85535,                0.34391,                0.45706,                0.26697,                 1.1421,                0.68915,                 1.0113,              0.0001535,              0.0001535,              0.0001535
                     37,                 1.1729,                0.69749,                 1.0111,                0.79304,                0.35278,                0.46571,                0.28058,                  1.137,                 0.6835,                 1.0076,              0.0001436,              0.0001436,              0.0001436
                     38,                 1.1752,                0.69628,                 1.0077,                 0.8526,                0.35485,                0.46667,                 0.2881,                 1.1387,                0.67825,                  1.008,              0.0001337,              0.0001337,              0.0001337
                     39,                 1.1559,                0.68777,                 1.0053,                0.85428,                0.35443,                 0.4502,                0.27516,                 1.1376,                 0.6787,                 1.0064,              0.0001238,              0.0001238,              0.0001238
                     40,                 1.1572,                0.68463,                 1.0042,                0.78737,                0.35681,                0.45467,                 0.2747,                 1.1322,                0.67209,                 1.0046,              0.0001139,              0.0001139,              0.0001139
                     41,                 1.1304,                0.65205,                0.99216,                0.85134,                0.35825,                0.48804,                0.29077,                  1.135,                0.67634,                 1.0045,               0.000104,               0.000104,               0.000104
                     42,                 1.1232,                0.64418,                0.98705,                0.86237,                0.35819,                0.49301,                0.29497,                 1.1321,                0.66958,                 1.0035,               9.41e-05,               9.41e-05,               9.41e-05
                     43,                 1.1131,                0.63683,                0.98477,                 0.8612,                0.35658,                0.47719,                0.28624,                 1.1295,                0.66969,                 1.0018,               8.42e-05,               8.42e-05,               8.42e-05
                     44,                 1.1076,                0.63027,                0.98111,                0.80325,                0.39551,                0.50202,                0.28713,                 1.1298,                0.66627,                 1.0028,               7.43e-05,               7.43e-05,               7.43e-05
                     45,                 1.1005,                  0.624,                0.98159,                 0.8705,                0.35901,                0.47521,                0.28969,                 1.1233,                0.66249,                0.99946,               6.44e-05,               6.44e-05,               6.44e-05
                     46,                 1.0932,                0.62024,                0.97759,                 0.8704,                0.35929,                 0.4816,                 0.2914,                 1.1233,                0.66056,                 1.0001,               5.45e-05,               5.45e-05,               5.45e-05
                     47,                  1.091,                0.61579,                0.97529,                0.85019,                0.36665,                0.46762,                0.27863,                 1.1224,                0.66051,                0.99904,               4.46e-05,               4.46e-05,               4.46e-05
                     48,                 1.0856,                0.61145,                 0.9732,                0.85097,                0.36582,                0.46071,                0.27729,                 1.1218,                 0.6588,                0.99896,               3.47e-05,               3.47e-05,               3.47e-05
                     49,                 1.0793,                0.60914,                0.96957,                0.76347,                0.42561,                0.46559,                0.28195,                 1.1181,                 0.6572,                0.99755,               2.48e-05,               2.48e-05,               2.48e-05
                     50,                 1.0746,                 0.6043,                0.97168,                0.85539,                0.36688,                0.46922,                 0.2806,                 1.1173,                0.65563,                0.99724,               1.49e-05,               1.49e-05,               1.49e-05
